Cost,Product Name,Category,Sub-Category,Dimensions (W x D x H),Material,Colour/Finish,Product URL,Image URL,Notes
"£1,295","Theodore Armchair, Vende Jacquard, Olive",Armchair,Armchair,"H85 x W64 x D75cm / H33 x W25 x D30""",Woven Jacquard,"Vende Jacquard, Olive",https://www.sohohome.com/products/theodore-armchair-vende-jacquard-olive/78131847,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/276432-78131847-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Grey Blue,https://www.sohohome.com/products/theodore-armchair/79960189,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277136-79960189-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Olive,https://www.sohohome.com/products/theodore-armchair/74572666,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277078-74572666-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Chocolate,https://www.sohohome.com/products/theodore-armchair/72763717,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277072-72763717-listingjpg.jpg, 
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Rust,https://www.sohohome.com/products/theodore-armchair/79922729,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277094-79922729-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Lichen,https://www.sohohome.com/products/theodore-armchair/79922767,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277100-79922767-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Porcelain,https://www.sohohome.com/products/theodore-armchair/79959985,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277106-79959985-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Camel,https://www.sohohome.com/products/theodore-armchair/79960028,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277112-79960028-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Mustard,https://www.sohohome.com/products/theodore-armchair/79960066,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277118-79960066-listingjpg.jpg,
£995,Theodore Armchair,Armchair,Armchair,"H84.5 x W64 x D75cm / H33.3 x W25.2 x D29.5""",velvet,Velvet Taupe,https://www.sohohome.com/products/theodore-armchair/79960141,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/277130-79960141-listingjpg.jpg,
